tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,genres
tt0054418,movie,Two Wives at One Wedding,Two Wives at One Wedding,0,1961,66,"Crime,Drama"
tt0054419,movie,Tysiac talarów,Tysiac talarów,0,1960,91,Comedy
tt0054420,movie,Tärningen är kastad,Tärningen är kastad,0,1960,94,"Crime,Thriller"
tt0054421,movie,U nás v Mechové,U nás v Mechové,0,1960,77,Comedy
tt0054422,movie,The Last Days of Pompeii,Gli ultimi giorni di Pompei,0,1959,93,"Action,Adventure,History"
tt0054423,movie,The Last of the Vikings,L'ultimo dei Vikinghi,0,1961,103,"Action,Adventure,War"
tt0054425,movie,Taxi for Tobruk,Un taxi pour Tobrouk,0,1961,95,"Drama,War"
tt0054426,movie,The Long Absence,Une aussi longue absence,0,1961,94,"Drama,Mystery"
tt0054428,movie,The Unforgiven,The Unforgiven,0,1960,125,"Drama,Romance,Western"
tt0054430,movie,Usne Kaha Tha,Usne Kaha Tha,0,1960,150,"Drama,Romance,War"
tt0054431,movie,Uta andon,Uta andon,0,1960,112,Drama
tt0054433,movie,Brevi amori a Palma di Majorca,Brevi amori a Palma di Majorca,0,1959,98,Comedy
tt0054434,movie,El vagabundo y la estrella,El vagabundo y la estrella,0,1967,89,Musical
tt0054435,movie,Valley of the Redwoods,Valley of the Redwoods,0,1960,63,"Action,Crime,Drama"
tt0054436,movie,Revenge of the Barbarians,La vendetta dei barbari,0,1960,105,"Action,Drama,History"
tt0054437,movie,Goliath and the Dragon,La vendetta di Ercole,0,1960,87,"Action,Adventure,Fantasy"
tt0054438,movie,The Ballet of Othello,Otelo,0,1960,95,"Drama,Musical,Romance"
tt0054439,movie,The Party,Veselica,0,1960,102,Drama
tt0054440,movie,La vida privada de Fulano de Tal,La vida privada de Fulano de Tal,0,1961,90,\N
tt0054441,movie,Les vieux de la vieille,Les vieux de la vieille,0,1960,90,Comedy
tt0054442,movie,Il vigile,Il vigile,0,1960,104,Comedy
